Category,Runs,Home Runs,RBI,Stolen Bases,Doubles,Triples,Hits,Total Bases,Wins,Strikeouts,Saves,Holds,Saves and Holds,Innings Pitched,Quality Starts,Losses,Batting Average,Slugging %,On Base %,ERA,WHIP,K/9,K/BB
Batting Average,0.4846330796121219,0.3246276465534566,0.4040201065051237,0.18913572617410762,0.35029918421879136,0.14421307257447985,0.7498185700322558,0.6586920460431771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16875404052096873,1.0,0.8156351603152393,0.9104527558258231,0.0,0.0,0.0,0.0
Doubles,0.3103649871052147,0.04673853168352105,0.2444259221507626,0.09048587603530088,1.0,0.05156888178404296,0.49244744795933465,0.48214237592756326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09211104479481702,0.35029918421879136,0.35048571943402274,0.2628008335476444,0.0,0.0,0.0,0.0
ERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3206063858167984,-0.18922505249127636,-0.08302583748041584,-0.018423191057949276,-0.09782361529307554,-0.2538523177533214,-0.6094087677812048,0.5326605144638928,0.0,0.0,0.0,1.0,0.7414354663464072,-0.008114920692331183,-0.26965846853869796
Hits,0.6354156713480795,0.42345481161056514,0.5681334857431762,0.23051015000113842,0.49244744795933465,0.17733993394544145,1.0,0.87176788252363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2821525789507708,0.7498185700322558,0.5995045821297985,0.5518525005987515,0.0,0.0,0.0,0.0
Holds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15278859034635336,0.04882024146629458,-0.22724250033003193,1.0,0.30071169837293454,-0.014153331772837707,-0.08485809990890752,-0.03294646868293869,0.0,0.0,0.0,-0.018423191057949276,-0.002449863782668934,0.057927235470707536,-0.017176041698163343
Home Runs,0.5502114155053897,1.0,0.6682762117832629,0.04008600475895391,0.04673853168352105,0.020260991045893243,0.42345481161056514,0.7594677808956803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18254963444902167,0.3246276465534566,0.7155906550423144,0.2513631022079555,0.0,0.0,0.0,0.0
Innings Pitched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41969817861162745,0.7295188008429163,0.4162854385521762,-0.014153331772837707,0.41805763536815344,1.0,0.6390737528672584,-0.024274699550263956,0.0,0.0,0.0,-0.2538523177533214,-0.2648532940179673,-0.08861180031090908,0.16455120325623585
K/9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04739140267063639,0.572036180347407,0.011429130327029335,0.057927235470707536,0.054929803480451116,-0.08861180031090908,-0.10108172679899452,0.008188403531664683,0.0,0.0,0.0,-0.008114920692331183,-0.04075051933752853,1.0,0.36026768154042144
K/BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10747317423407182,0.4004913469394809,0.07267293002399224,-0.017176041698163343,0.0701953238159817,0.16455120325623585,0.31460511982190537,-0.16733977783543938,0.0,0.0,0.0,-0.26965846853869796,-0.5279375635869319,0.36026768154042144,1.0
Losses,-0.28117430929287857,-0.18254963444902167,-0.13576484733922614,-0.2118219435765386,-0.09211104479481702,0.1009011793486453,-0.2821525789507708,-0.22620777393990554,-0.2856543781487045,-0.019137077171858054,0.030415221988788963,-0.03294646868293869,0.003782391016315315,-0.024274699550263956,-0.24689584213729454,1.0,-0.16875404052096873,-0.07385424701870222,-0.2051315582638625,0.5326605144638928,0.4342860673449668,0.008188403531664683,-0.16733977783543938
On Base %,0.441359339476082,0.2513631022079555,0.30553339318986866,0.1970177174779738,0.2628008335476444,0.09522162107447582,0.5518525005987515,0.4958380719059686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2051315582638625,0.9104527558258231,0.7571218319123006,1.0,0.0,0.0,0.0,0.0
Quality Starts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811621860019593,0.4814023132314102,-0.17293069632212515,-0.08485809990890752,-0.13886050286530127,0.6390737528672584,1.0,-0.24689584213729454,0.0,0.0,0.0,-0.6094087677812048,-0.5778499114129193,-0.10108172679899452,0.31460511982190537
RBI,0.507376363242982,0.6682762117832629,1.0,0.09368569746647532,0.2444259221507626,0.14717602015719702,0.5681334857431762,0.7211002218444204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13576484733922614,0.4040201065051237,0.5793652693888393,0.30553339318986866,0.0,0.0,0.0,0.0
