Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.043773134252679285,0.0012067239444993876,-0.027545421831810957,0.4613264114443641,0.020789238627316468,-0.004316395776035545,-0.5858236331639666,-0.025563874430297322,-0.03147631365916669,0.08542358116255554,0.0030755013740446824,-0.017169400070175225,0.021119450513078803,0.042480305559913514,-0.0024754118479177103,1.0
Assists,0.2079273810953284,0.5426681605926056,0.4970289738989484,1.0,0.36535206366635836,0.2227843471084831,0.3564982335439872,0.46449198315976903,0.3613048014950139,0.3439867899199896,0.5317526705210902,0.36278770433321217,0.0713782250277501,0.08960629065824892,-0.006711886283136977,0.4613264114443641
Blocks,0.08946644134587084,0.2926638497274877,0.27838554388980613,0.2227843471084831,0.16136867478378766,1.0,0.18033408741660986,0.26354950780299685,0.20178744489493483,0.1442698098991141,0.28783536969218354,0.20662471901101065,0.05261917802002562,0.01992684237268556,-0.012532832107475482,-0.004316395776035545
Def Rebounds,0.20297083234063587,0.6037558715601232,0.9165097874504764,0.46449198315976903,0.34610600528150864,0.26354950780299685,0.4441227729390791,1.0,0.42847362679330603,0.4677219501634435,0.5796061484598655,0.4368058775959921,0.0695181970191703,0.051865439143988,-0.007567297271544274,-0.025563874430297322
Double Doubles,0.09268910385594455,0.4163518780897984,0.5237206677694429,0.3439867899199896,0.1841442169732963,0.1442698098991141,0.2455270135988116,0.4677219501634435,0.42354221169329664,1.0,0.39689762538592327,0.3078379412779774,0.12711388024853165,0.024034248503656982,-0.013057759685662912,0.08542358116255554
Field Goal %,0.1356381454405178,0.3787642625662997,0.039157800005500384,0.0713782250277501,0.05812378410149012,0.05261917802002562,0.03401005993881694,0.0695181970191703,-0.01899280630279126,0.12711388024853165,0.4429452501823685,0.05056143856225313,1.0,-0.016273850475280092,0.1783558874005683,0.021119450513078803
Field Goals Made,0.34430543549000325,0.9655656123418301,0.6454581971054218,0.5317526705210902,0.41380829806860436,0.28783536969218354,0.4859243871027532,0.5796061484598655,0.5127245186078844,0.39689762538592327,1.0,0.498435616801643,0.4429452501823685,0.07015407713043148,0.0451312529912083,0.0030755013740446824
Free Throw %,0.03040332360786832,0.15616295896699364,0.0545842573827292,0.08960629065824892,0.06315070967071569,0.01992684237268556,0.04852900037744212,0.051865439143988,0.035794567941896414,0.024034248503656982,0.07015407713043148,0.33960403975208947,-0.016273850475280092,1.0,0.02253587648823992,0.042480305559913514
Free Throws Made,0.16310793919000885,0.6909572389648252,0.48682014691820386,0.36278770433321217,0.3176466069188064,0.20662471901101065,0.3459377769929669,0.4368058775959921,0.3888519566953553,0.3078379412779774,0.498435616801643,1.0,0.05056143856225313,0.33960403975208947,0.0037049781754318785,-0.017169400070175225
Off Rebounds,0.115050019074269,0.5324401924861528,0.7384038186480358,0.3613048014950139,0.2560812657983904,0.20178744489493483,0.35807430702301984,0.42847362679330603,1.0,0.42354221169329664,0.5127245186078844,0.3888519566953553,-0.01899280630279126,0.035794567941896414,-0.056036076539587726,-0.03147631365916669
Points,0.3748268537380893,1.0,0.6720883306640162,0.5426681605926056,0.43052173152890066,0.2926638497274877,0.49688497022103023,0.6037558715601232,0.5324401924861528,0.4163518780897984,0.9655656123418301,0.6909572389648252,0.3787642625662997,0.15616295896699364,0.06827835715492325,0.0012067239444993876
Rebounds,0.20173697949271618,0.6720883306640162,1.0,0.4970289738989484,0.36243728643815254,0.27838554388980613,0.47719099178887203,0.9165097874504764,0.7384038186480358,0.5237206677694429,0.6454581971054218,0.48682014691820386,0.039157800005500384,0.0545842573827292,-0.02881313138422019,-0.027545421831810957
Steals,0.17644995769267705,0.43052173152890066,0.36243728643815254,0.36535206366635836,1.0,0.16136867478378766,0.32419248519030763,0.34610600528150864,0.2560812657983904,0.1841442169732963,0.41380829806860436,0.3176466069188064,0.05812378410149012,0.06315070967071569,0.026553355065838807,0.020789238627316468
Three %,0.7242190748204262,0.06827835715492325,-0.02881313138422019,-0.006711886283136977,0.026553355065838807,-0.012532832107475482,-0.011014644224948683,-0.007567297271544274,-0.056036076539587726,-0.013057759685662912,0.0451312529912083,0.0037049781754318785,0.1783558874005683,0.02253587648823992,1.0,-0.0024754118479177103
Threes,1.0,0.3748268537380893,0.20173697949271618,0.2079273810953284,0.17644995769267705,0.08946644134587084,0.18243736605045122,0.20297083234063587,0.115050019074269,0.09268910385594455,0.34430543549000325,0.16310793919000885,0.1356381454405178,0.03040332360786832,0.7242190748204262,0.043773134252679285
Turnovers,0.18243736605045122,0.49688497022103023,0.47719099178887203,0.3564982335439872,0.32419248519030763,0.18033408741660986,1.0,0.4441227729390791,0.35807430702301984,0.2455270135988116,0.4859243871027532,0.3459377769929669,0.03401005993881694,0.04852900037744212,-0.011014644224948683,-0.5858236331639666
