,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85
Assist to TO,2.4996544483565146,2.0184318559191414,1.6425092652356963,2.2333548876179017,2.025159359761894,2.03641612120716,2.2037961437723497,1.883384579842553,1.5086928984867733,1.5302193365109875,1.5277736360076901,1.3687944285526819,1.3959931594193173,1.1686621315532368,1.084967130923988,1.1354789943870534,1.0685460850558588,1.0480062145772533,1.0558367980605265,1.2355625683009768,1.1726694492715772,1.1569944766697953,1.3535493750338699,1.0413867025126697,1.110277867610546,0.9026954120579983,0.8336663578080407,0.9532160609842123,0.9119282927894133,0.951453783213615,0.8313392537550057,1.0742281466291304,0.876119240563127,0.872551471783404,0.7816639643478103,0.7432252541989954,0.7547660803940086,0.7621381878339272,0.7696159651000297,0.7773919008659562,0.8322224471015963
Assists,0.9463380835033176,0.9257165448351302,0.8226488482130131,0.7315740403563705,0.7192957630108264,0.7875785749655345,0.8044591236979258,0.7364637277005073,0.5732205054170205,0.5864595185936134,0.6810669405399519,0.7305258581560187,0.6540511109208346,0.7442957801346052,0.5822262945680385,0.6252181623709963,0.628721959259734,0.5983389707527674,0.6857301137346093,0.6578382175745358,0.7052394695249294,0.7787288118673601,0.7138428202778152,0.5826416946394897,0.6188809052674668,0.5583284335418695,0.523703503375027,0.5968113550602206,0.6136481728232696,0.5876428493643217,0.5903960984163649,0.5928686408315283,0.5179612537356703,0.45544048064148024,0.47828506531683057,0.4473439401944157,0.4778579850038158,0.4763609389934437,0.5015534237699727,0.52222033171012,0.5813639906394826
Blocks,1.3981888666618665,1.2293025982179056,1.2018092397145734,1.3123919621946878,1.3018526466530491,1.3885213257172349,1.2422857919363626,1.4058295761845545,1.1737729557491876,1.1272682968256844,1.0793674131325754,1.057134252553394,1.0158443985189838,0.8556830450660942,1.011980828358499,1.0374148814673627,0.9434469039706699,0.8524897950708328,0.7341930349729271,0.823545827340109,0.8491137065672562,0.711321356812381,0.8188678471295849,0.8608348051964271,0.8428915516178422,0.7900275199277144,0.7103132981963183,0.7184876263704713,0.84087381345879,0.6783536392197476,0.6693051039476138,0.6301052774954103,0.5912192769264644,0.6382137034990583,0.7423972197181385,0.6083319527020238,0.6507696711722312,0.7277822826641854,0.7144061983715679,0.616188941322301,0.6253146602890398
Def Rebounds,1.64233795043834,1.4683447693966243,1.4813786563555411,1.4770323652701394,1.435499780637781,1.9026182460018015,1.563428044571057,1.2460579549048916,1.258900039487058,1.3787423109269523,1.6540268486601408,1.379346131068741,1.3261636911809815,1.2069183724739607,1.317884139089343,1.3518535763744208,1.5389094313105942,1.2223714588491996,1.1947903473240784,1.2871436639934424,1.5255159627460106,1.3889365652185708,1.380112172793269,1.333981823044874,1.1324184790886882,1.4365466596556558,1.4305950741618563,1.1442820678898065,1.2902634510682998,0.964686762189501,0.8912997109002802,0.8309399620606477,0.7327166610139554,0.8216165611912087,0.9672349018130652,0.9517479607855791,1.067798147610029,0.8459652711598237,0.7787562601720984,0.9724407877484329,0.8068067424734231
Double Doubles,1.3566967876240805,1.1703539754342784,1.3820364126470195,1.1361162392784716,1.1441906437378366,1.34535893232343,1.2672488620292557,1.0812839363307787,1.0980173407538736,1.3060006114908678,1.6414066142237993,1.3534611499626927,1.7413038828052245,1.3583179558247924,1.4921792921533485,1.3424643293348522,1.507393021950529,1.266339809664683,1.2233219607233077,1.527952826442517,1.6582742006298399,1.6177567139585989,1.664214494267935,1.5529646543283138,1.3636038911911295,1.4336955024846585,1.2490390223941938,1.3302167404773064,1.5888404655063189,1.3304235449803061,1.3314366415033736,1.0833644860629479,0.9879521782458742,1.058758570587604,1.1248091202380794,1.25467695181863,1.246324778572286,1.2545875739281702,1.0889207064936535,1.3963514360960314,1.1500295061060908
Field Goal %,2.302452363462013,2.1919668376124553,2.1170797180029655,2.0818387142924992,2.1646688149661113,2.4679775499690355,2.4821823096350295,3.0467566434004834,2.865768221274408,3.0797588600774057,3.351129350999243,2.8236083405643533,3.3713513805618818,2.9465554871105706,3.5467916696677517,3.3267673530134965,3.300456926993052,3.4342818906489536,3.0095452262385414,3.6556702984303278,3.758798939185881,4.0471320632714445,4.634741768583138,3.9900125417794063,4.432154011096463,4.156435839649226,3.354612009048441,3.773222874053578,3.3419735787173694,3.230724033177676,3.0078491670566514,3.5411853760597873,4.339835836035528,4.157337812252717,3.3511253225943314,4.141483843005594,4.938049206684741,4.684747982413415,3.8079049391036586,4.508762141790445,3.7598804092680838
Field Goal Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Goals Made,2.177849721657236,1.8168736566072914,1.7795675801114035,1.8937484737505383,1.7293803884887018,2.1849929252485034,1.7997875269670922,1.9562309394341448,1.5058667209436283,1.8382653810012117,2.5822520202585677,2.1944541877680943,2.0914176734320415,2.100441507323111,1.7195524235834483,1.9267425801880576,1.8489278210291253,1.6919572050163763,1.8262284207272377,1.2597671307937255,1.7735304519212878,1.8314953763060655,1.3563545853528798,1.6267744038503562,1.2653800941414277,1.4042303359117179,1.5894559435378623,1.7388060191678814,1.760606187032971,1.535908426758542,1.513531092173994,1.403283190849964,1.3611782431083,1.4566855104173153,1.3829050422632614,1.3743991440814403,1.2878722833483955,1.1342564834112705,1.0623283210759689,1.3982646163037944,1.1881418858924921
Free Throw %,2.1923044839934844,2.2522603522598166,1.808388781042967,2.0949464475236534,1.6283522108593846,1.9301780511555215,2.0115662504420806,2.2366119425421687,1.4984472623686602,1.1147981576228378,1.6036845067551413,1.7386893731134194,1.5878630230786765,1.3936462215293328,1.8435689892361706,1.952923284429199,1.8339555365039513,1.9156508523644555,1.719185074401695,1.73048555138886,1.5374173767230026,1.986387126238087,2.247684078485876,2.0600798375490945,1.7520406929583865,2.084656594647051,1.7462660152612184,2.378358398720143,2.0089007176304206,2.162615328292098,1.9247039961142656,1.994235019768812,2.2780693649078554,2.5432752181651956,2.1670915905069403,2.696689449006047,2.7108623761024293,2.5613084975228806,2.532412730556839,2.3859697020101023,2.9253398086023523
Free Throw Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
