"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",39,100.7,33,9.8,8.2,0.8,0.6,1.4,4.6,25,10.1,10.2,4.4,2.1,2024-02-05
"Stephen Curry","Golden State Warriors","Vet",35.2,100.4,30.2,5.7,4.1,0.5,0.4,0.9,2.9,22.6,5,11.7,2.3,1.9,2024-02-05
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",35.6,101.6,29.7,6.9,9.2,2.5,1,1.2,4,18.5,9.6,1.7,8.8,3,2024-02-05
"Jalen Brunson","New York Knicks","Vet",36.3,97.2,28.6,6.7,3.3,0.5,0.2,0.9,2.5,22.1,6.7,6.5,3.7,2,2024-02-05
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",34.6,99.7,28.3,6.4,4.5,0.9,0.9,1.7,2.5,19.2,8.8,3.3,5.7,2.5,2024-02-05
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.1,98,27.8,6.6,4.2,0.9,0.4,1.5,2.9,20.7,5.5,9.6,4.7,2.2,2024-02-05
"Jayson Tatum","Boston Celtics","Vet",35,98.8,27.4,4.9,7.2,0.9,0.6,1,2.5,19.1,6.6,8.6,4.7,1.9,2024-02-05
"Devin Booker","Phoenix Suns","Vet",35.8,98.4,27.4,6.3,3.8,0.7,0.4,0.9,2.3,19.1,6.1,6.5,2.7,2.8,2024-02-05
"De'Aaron Fox","Sacramento Kings","Vet",35.7,101.2,26.8,5.2,3.3,0.7,0.4,1.5,2.4,19.9,6.4,7.7,3.4,2.3,2024-02-05
"Trae Young","Atlanta Hawks","Vet",37.4,101.7,26.7,11.4,2.6,0.5,0.3,1.3,4.1,19.3,7.7,9,3.1,1.8,2024-02-05
"Nikola Jokic","Denver Nuggets","Vet",34.8,96.3,26.3,8.1,9.1,3,0.9,1.2,3.2,17.4,5.7,2.6,5.4,2.6,2024-02-05
"Kevin Durant","Phoenix Suns","Vet",36.9,99.8,25.8,5.6,6,0.6,1.2,0.8,2.6,17.5,5.2,5.7,2,1.8,2024-02-05
"Tyrese Maxey","Philadelphia 76ers","Vet",36.3,98.7,25.5,5.7,2.9,0.5,0.4,1,1.7,19.7,5.6,8.3,5.8,2.1,2024-02-05
"Cam Thomas","Brooklyn Nets","Vet",33.8,99,25.3,3.3,2.8,0.4,0.2,0.8,2.3,19.5,5.4,6.7,3,2,2024-02-05
"Anthony Edwards","Minnesota Timberwolves","Vet",34.8,96.4,24.5,4.9,4.3,0.5,0.5,1.2,3,18,6,6.6,4.6,1.8,2024-02-05
"LeBron James","Los Angeles Lakers","Vet",35.4,100.4,24.2,7.5,6.5,1,0.6,1.2,3,17.9,5.1,5.4,6.3,1.3,2024-02-05
"Damian Lillard","Milwaukee Bucks","Vet",35.1,101.8,24.1,6.5,3.5,0.6,0.3,0.9,2.3,17.3,7.1,8.3,3.8,1.7,2024-02-05
"Anthony Davis","Los Angeles Lakers","Vet",35.4,100.7,24.1,3.8,9.6,3.1,2.2,1.1,2.1,16.9,6.6,1.3,6.6,2.3,2024-02-05
"Kawhi Leonard","Los Angeles Clippers","Vet",33,96.2,23.6,3.7,5.1,1.2,0.8,1.5,1.5,16.5,4.2,5.1,3.3,1.5,2024-02-05
