"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.83,1.3,4.87,1.96,4.33,3.65,0.68,24.945,0.648,3.656,0.345,0.17,7.796,0.736,8.206,0.832,0.333,0.287,17.284,11.608,0.387,1.297,0.014,1.711,0.017,4.655
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",6.49,-1.03,4.17,2.32,4.68,3.07,1.61,24.538,0.64,2.268,0.301,0.14,11.734,0.815,12.751,0.656,0.57,0.319,15.603,9.227,0.335,1.323,0.014,1.618,0.016,5.317
203954,"Philadelphia 76ers","Joel Embiid","Vet",6.31,-0.1,3.77,2.54,4.6,3.34,1.26,30.019,0.532,5.108,0.34,0.19,7.789,0.751,13.379,0.861,0.507,0.359,15.905,8.037,0.274,2.359,0.027,1.438,0.014,5.817
1628369,"Boston Celtics","Jayson Tatum","Vet",5.91,0.63,5.36,0.55,4.17,4.53,-0.36,26.469,0.538,11.901,0.369,0.429,6.542,0.709,9.157,0.851,0.341,0.294,11.248,6.777,0.224,0.876,0.009,1.371,0.014,3.467
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",5.85,0.88,4.23,1.62,7.3,5.31,1.99,24.884,0.572,7.768,0.417,0.313,4.934,0.744,6.32,0.892,0.272,0.258,9.454,5.539,0.179,1.228,0.013,2.211,0.022,2.281
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",5.22,1.72,4.47,0.75,5.57,5.33,0.24,28.859,0.554,13.399,0.37,0.472,6.51,0.695,7.604,0.868,0.256,0.337,7.084,9.24,0.304,0.616,0.006,2.159,0.021,3.991
202331,"Los Angeles Clippers","Paul George","Vet",4.99,0.58,3.38,1.61,3.12,1.38,1.74,24.685,0.52,12.155,0.39,0.511,3.779,0.67,5.373,0.89,0.222,0.264,8.111,5.214,0.147,0.648,0.007,2.063,0.021,2.75
201142,"Phoenix Suns","Kevin Durant","Vet",4.73,-0.85,4.47,0.26,3.6,3.95,-0.35,22.815,0.576,7.477,0.409,0.341,2.587,0.774,6.81,0.893,0.315,0.258,8.497,7.29,0.219,1.592,0.018,1.054,0.011,3.415
1628983,"Oklahoma City Thunder","Shai Gilgeous-Alexander","Vet",4.23,2.63,4.26,-0.03,3.97,3.91,0.06,26.715,0.574,4.657,0.374,0.204,7.977,0.69,12.275,0.895,0.483,0.326,7.42,8.977,0.31,1.207,0.013,2.422,0.024,3.509
201935,"Los Angeles Clippers","James Harden","Vet",4.21,0.54,3.49,0.72,3.94,2.68,1.26,16.931,0.518,10.132,0.368,0.606,2.995,0.633,6.029,0.878,0.37,0.194,7.668,12.118,0.339,1.058,0.012,1.667,0.017,3.614
2544,"Los Angeles Lakers","LeBron James","Vet",4.05,-1,3.18,0.87,1.05,2.24,-1.19,24.213,0.585,7.257,0.351,0.292,8.513,0.746,6.956,0.742,0.265,0.28,10.184,10.169,0.328,0.866,0.009,1.555,0.015,4.085
1629029,"Dallas Mavericks","Luka Doncic","Vet",3.93,0.79,4.84,-0.91,2.51,3.84,-1.33,30.553,0.573,12.487,0.352,0.418,5.36,0.754,12.33,0.77,0.419,0.338,11.038,12,0.441,0.73,0.008,1.7,0.017,5.662
1641705,"San Antonio Spurs","Victor Wembanyama","Rookie",3.8,NA,1.43,2.37,5.37,2.22,3.15,27.169,0.544,8.311,0.323,0.299,8.999,0.721,9.159,0.806,0.32,0.332,17.116,5.592,0.195,4.655,0.054,1.621,0.016,5.324
1626164,"Phoenix Suns","Devin Booker","Vet",3.71,0.18,4.42,-0.7,2.2,3.18,-0.98,26.097,0.555,8.823,0.376,0.335,3.66,0.713,8.328,0.882,0.318,0.284,6.016,8.644,0.265,0.528,0.006,1.282,0.013,3.076
202681,"Dallas Mavericks","Kyrie Irving","Vet",3.56,-0.27,4.19,-0.63,3.49,3.68,-0.19,27.789,0.521,10.723,0.395,0.36,4.992,0.667,6.276,0.89,0.218,0.287,7.055,7.376,0.231,0.729,0.008,1.704,0.017,2.753
201939,"Golden State Warriors","Stephen Curry","Vet",3.39,-1.43,4.53,-1.13,2.54,4.27,-1.73,30.759,0.55,15.942,0.414,0.6,3.157,0.677,6.746,0.92,0.235,0.304,6.172,7.711,0.245,0.522,0.006,1.262,0.013,3.902
1630162,"Minnesota Timberwolves","Anthony Edwards","Vet",3.38,0.88,2.97,0.41,2.65,2.53,0.12,25.706,0.535,9.457,0.362,0.367,6.634,0.68,8.631,0.828,0.297,0.303,6.872,7.055,0.226,0.746,0.009,1.695,0.017,4.305
203081,"Milwaukee Bucks","Damian Lillard","Vet",3.34,-0.65,4.86,-1.52,1.71,3.33,-1.62,23.25,0.526,11.211,0.386,0.485,5.042,0.635,9.495,0.915,0.38,0.263,5.427,8.685,0.259,0.398,0.004,1.216,0.012,3.134
203076,"Los Angeles Lakers","Anthony Davis","Vet",3.3,1.07,1.37,1.93,2.63,1.38,1.25,22.762,0.576,1.758,0.308,0.072,8.912,0.749,8.884,0.81,0.374,0.264,17.102,5.151,0.165,2.909,0.032,1.535,0.015,2.889
1628368,"Sacramento Kings","De'Aaron Fox","Vet",3.19,3.53,4.04,-0.85,2.47,3.22,-0.75,26.485,0.555,10.267,0.348,0.384,4.567,0.71,8.567,0.753,0.313,0.294,5.39,6.928,0.218,0.543,0.006,2.057,0.021,3.178
1626157,"Minnesota Timberwolves","Karl-Anthony Towns","Vet",3.17,-1.27,1.28,1.89,0.89,1.12,-0.23,23.517,0.582,8.155,0.403,0.338,7.182,0.69,7.294,0.875,0.335,0.276,12.846,4.64,0.144,1.11,0.012,1.028,0.01,3.81
204001,"Boston Celtics","Kristaps Porzingis","Vet",3.12,1.49,1.31,1.8,1.38,0.19,1.19,21.106,0.58,8.832,0.369,0.402,5.382,0.753,8.367,0.852,0.375,0.241,11.402,3.448,0.1,2.713,0.03,1.163,0.011,2.459
202710,"Miami Heat","Jimmy Butler","Vet",2.95,-1.3,2.46,0.48,1.93,1.98,-0.05,19.681,0.549,3.661,0.318,0.2,6.549,0.685,10.087,0.862,0.533,0.229,7.817,6.705,0.197,0.453,0.005,2.194,0.022,2.222
1628973,"New York Knicks","Jalen Brunson","Vet",2.89,2.33,3.86,-0.97,2.46,4.26,-1.8,30.125,0.541,8.862,0.399,0.286,4.976,0.647,9.058,0.852,0.312,0.321,5.208,9.13,0.3,0.249,0.003,1.217,0.012,3.348
