cat,Batting Average,Doubles,Hits,Runs,Home Runs,RBI,Stolen Bases,Triples,Total Bases,Wins,Strikeouts,Saves,Holds,Saves and Holds,Innings Pitched,Quality Starts,Losses,Slugging %,On Base %,ERA,WHIP,K/9,K/BB
Batting Average,1,0.350299184,0.74981857,0.48463308,0.324627647,0.404020107,0.189135726,0.144213073,0.658692046,0.1496885,-0.037000548,-0.01831777,-0.009260993,-0.021392851,0.099395539,-0.191267832,-0.168754041,0.81563516,0.910452756,0.167107291,0.138893009,-0.1724645,-0.058270004
Doubles,0.350299184,1,0.492447448,0.310364987,0.046738532,0.244425922,0.090485876,0.051568882,0.482142376,-0.119959477,-0.210129793,-0.306644755,-0.155031693,-0.358122502,-0.150898419,-0.246599142,-0.092111045,0.350485719,0.262800834,0.074848156,0.080919124,-0.048732738,-0.05070693
Hits,0.74981857,0.492447448,1,0.635415671,0.423454812,0.568133486,0.23051015,0.177339934,0.871767883,0.078268146,-0.18916457,-0.480016347,-0.242683907,-0.560598713,-0.021831986,-0.129267434,-0.282152579,0.599504582,0.551852501,0.06365462,0.023492903,-0.14620155,-0.092699089
Holds,-0.009260993,-0.155031693,-0.242683907,-0.239184575,-0.188014015,-0.236289997,-0.075257669,-0.06084222,-0.253128509,-0.15278859,0.048820241,-0.2272425,1,0.300711698,-0.014153332,-0.0848581,-0.032946469,0.007485013,-0.041607699,-0.018423191,-0.002449864,0.057927235,-0.017176042
Home Runs,0.324627647,0.046738532,0.423454812,0.550211416,1,0.668276212,0.040086005,0.020260991,0.759467781,0.176008056,-0.070515763,-0.371882099,-0.188014015,-0.434311514,0.051348364,0.260889722,-0.182549634,0.715590655,0.251363102,0.042438116,0.02488804,-0.150503118,-0.010067964
Innings Pitched,0.099395539,-0.150898419,-0.021831986,0.096564454,0.051348364,-0.000782115,-0.029850345,0.011829798,0.016858083,0.419698179,0.729518801,0.416285439,-0.014153332,0.418057635,1,0.639073753,-0.0242747,0.155791509,0.107236171,-0.253852318,-0.264853294,-0.0886118,0.164551203
K/9,-0.1724645,-0.048732738,-0.14620155,-0.199393364,-0.150503118,-0.168719379,-0.005671743,0.000288589,-0.174561678,-0.047391403,0.57203618,0.01142913,0.057927235,0.054929803,-0.0886118,-0.101081727,0.008188404,-0.179231577,-0.184845527,-0.008114921,-0.040750519,1,0.360267682
K/BB,-0.058270004,-0.05070693,-0.092699089,0.042832707,-0.010067964,0.031295195,0.041532882,-0.061188693,-0.078122283,0.107473174,0.400491347,0.07267293,-0.017176042,0.070195324,0.164551203,0.31460512,-0.167339778,-0.055082133,0.045471242,-0.269658469,-0.527937564,0.360267682,1
Losses,-0.168754041,-0.092111045,-0.282152579,-0.281174309,-0.182549634,-0.135764847,-0.211821944,0.100901179,-0.226207774,-0.285654378,-0.019137077,0.030415222,-0.032946469,0.003782391,-0.0242747,-0.246895842,1,-0.073854247,-0.205131558,0.532660514,0.434286067,0.008188404,-0.167339778
On Base %,0.910452756,0.262800834,0.551852501,0.441359339,0.251363102,0.305533393,0.197017717,0.095221621,0.495838072,0.144881852,0.023542796,-0.082297899,-0.041607699,-0.096113594,0.107236171,-0.155116939,-0.205131558,0.757121832,1,0.203298004,0.189732552,-0.184845527,0.045471242
Quality Starts,-0.191267832,-0.246599142,-0.129267434,-0.028690077,0.260889722,0.198445313,-0.116105091,-0.214529083,0.076211635,0.481162186,0.481402313,-0.172930696,-0.0848581,-0.138860503,0.639073753,1,-0.246895842,0.052451161,-0.155116939,-0.609408768,-0.577849911,-0.101081727,0.31460512
RBI,0.404020107,0.244425922,0.568133486,0.507376363,0.668276212,1,0.093685697,0.14717602,0.721100222,0.100856896,-0.125528639,-0.46736952,-0.236289997,-0.54582881,-0.000782115,0.198445313,-0.135764847,0.579365269,0.305533393,0.049870477,0.016644813,-0.168719379,0.031295195
Runs,0.48463308,0.310364987,0.635415671,1,0.550211416,0.507376363,0.21436695,0.160013616,0.708889203,0.187924791,-0.032085291,-0.473094847,-0.239184575,-0.552515272,0.096564454,-0.028690077,-0.281174309,0.570589475,0.441359339,0.157887609,0.130113961,-0.199393364,0.042832707
Saves,-0.01831777,-0.306644755,-0.480016347,-0.473094847,-0.371882099,-0.46736952,-0.148855819,-0.120342797,-0.500675236,-0.010545447,0.269741184,1,-0.2272425,0.892718738,0.416285439,-0.172930696,0.030415222,0.014804973,-0.082297899,-0.083025837,-0.053932577,0.01142913,0.07267293
Saves and Holds,-0.021392851,-0.358122502,-0.560598713,-0.552515272,-0.434311514,-0.54582881,-0.173844872,-0.140545249,-0.584725697,-0.082095133,0.311016581,0.892718738,0.300711698,1,0.418057635,-0.138860503,0.003782391,0.017290347,-0.096113594,-0.097823615,-0.051275315,0.054929803,0.070195324
