Season,Player,Points,Rebounds,Assists,Steals,Blocks,Threes,Turnovers,Free Throw Attempts,Free Throw %,Field Goal Attempts,Field Goal %,No Play %,Position
2001,A.C. Green,14.68,12.52,1.56,1.2,0.32,0,1.8,4.44,0.711711712,12.96,0.444444444,0,PF
2001,Milt Palacio,17.1,5.1,7.55,2.4,0,0.6,4,3.68,0.847826087,10.68,0.471910112,0.2,PG
2001,Mikki Moore,14.36,12.64,1.32,0.96,2.44,0,2.96,5.2,0.730769231,10.72,0.492537313,0,C
2001,Mike Smith,7.285714286,3.142857143,1.428571429,0.714285714,0.428571429,0.428571429,1,0.64,0.625,2.36,0.322033898,0.72,SF
2001,Mike Penberthy,15.70588235,3.705882353,4.176470588,1.294117647,0.117647059,3.235294118,2,1.24,0.903225806,8.88,0.414414414,0.32,PG
2001,Mike Miller,39,13.08,5.6,2.04,0.76,5.92,3.88,5.12,0.7109375,33.8,0.435502959,0,SF
2001,Mike Bibby,52.04,12.16,27.4,4.28,0.48,4.32,9.92,7.52,0.760638298,46.28,0.453759723,0,PG
2001,Michael Stewart,2.538461538,2.230769231,0.153846154,0.307692308,0.230769231,0,0.384615385,0.72,0.611111111,1.36,0.323529412,0.48,C
2001,Michael Smith,12.04,22.48,4.04,2.28,1.48,0,2.48,6.16,0.577922078,8.72,0.486238532,0,PF
2001,Michael Ruffin,7.933333333,17.46666667,2.6,2,2.533333333,0,3.066666667,3.08,0.506493506,3.6,0.444444444,0.4,PF
2001,Michael Redd,2.6,0.8,0.2,0.2,0,0,0.2,0.24,0.5,0.76,0.263157895,0.8,SG
2001,Michael Olowokandi,28.04,21,1.84,1.2,4.32,0,6.76,6.24,0.544871795,28.32,0.435028249,0,C
2001,Michael Hawkins,2,1.25,3.25,0.5,0,0.5,1.5,0,,0.36,0.333333333,0.84,PG
2001,Michael Finley,70.6,17,14.4,4.72,1.28,3.64,7.6,13,0.775384615,62.08,0.458118557,0,SF
2001,Michael Doleac,20.41666667,11.375,2.708333333,1.541666667,1.708333333,0,2.458333333,2.36,0.847457627,21.08,0.417457306,0.04,C
2001,Michael Dickerson,51.90909091,10.40909091,10.59090909,2.818181818,1.227272727,3.909090909,7.363636364,10.8,0.762962963,40.8,0.416666667,0.12,SG
2001,Michael Curry,16.95238095,5.761904762,6.285714286,1.285714286,0.142857143,0.19047619,2.904761905,2.92,0.849315068,12.76,0.454545455,0.16,SG
2001,Metta World Peace,36.28,11.76,9.12,6.08,1.8,1.72,6.36,11.2,0.75,32.6,0.401226994,0,SF
2001,Maurice Taylor,39.08695652,16.43478261,4.52173913,1.217391304,1.652173913,0,5.434782609,6.48,0.734567901,31.88,0.489335006,0.08,SF
2001,Matt Maloney,18.45,5.85,7.7,2.8,0.25,2.55,3.5,1.36,0.764705882,13.92,0.41954023,0.2,PG
2001,Matt Harpring,34.61111111,13.44444444,5.666666667,2.333333333,0.944444444,0.722222222,5,6.6,0.812121212,20.96,0.454198473,0.28,SG
2001,Matt Geiger,15.21428571,9.928571429,1,0.857142857,0.571428571,0,1.785714286,2.16,0.685185185,8.96,0.392857143,0.44,C
2001,Matt Bullard,16.09090909,5.909090909,1.909090909,0.454545455,0.409090909,3.909090909,0.545454545,0.56,0.714285714,12.2,0.42295082,0.12,PF
2001,Mateen Cleaves,16.88,5.28,8.28,1.96,0.04,0.2,5.56,5.48,0.708029197,16,0.4,0,PG
2001,Mitch Richmond,49.83333333,9.083333333,9.25,3.583333333,0.583333333,3.75,7,6.4,0.89375,20.16,0.406746032,0.52,SG
2001,Monty Williams,16.4,9.72,3.16,1.16,0.64,0.04,3.4,5.32,0.639097744,14.56,0.445054945,0,SF
2001,Moochie Norris,21.76,7.92,11.32,2.76,0.08,1,4.28,7.76,0.778350515,16.52,0.445520581,0,PG
2001,Mookie Blaylock,34.54545455,12.36363636,21,7.409090909,0.909090909,3.318181818,5.818181818,3.04,0.697368421,32.04,0.395755306,0.12,PG
2001,Raja Bell,1.666666667,0.333333333,0,0.333333333,0,0.333333333,0.666666667,0,,0.28,0.285714286,0.88,SG
2001,Rafer Alston,4.052631579,1.631578947,3.578947368,0.684210526,0,0.421052632,1.052631579,0.52,0.692307692,3.36,0.357142857,0.24,PG
2001,Raef LaFrentz,40.32,24.28,4.28,1.48,8.24,2.04,3.88,10.48,0.698473282,32.48,0.476600985,0,C
2001,Quincy Lewis,9.538461538,3.615384615,1.384615385,0.769230769,0.769230769,0.692307692,1.307692308,0.84,0.714285714,4.92,0.406504065,0.48,SF
2001,Quentin Richardson,24.52,10.28,2.48,1.68,0.28,2,2.56,6.32,0.626582278,21,0.441904762,0,SG
2001,Popeye Jones,9,12.22222222,1.722222222,1.055555556,0.444444444,0.055555556,1.166666667,2.2,0.745454545,6.12,0.392156863,0.28,PF
2001,Pervis Ellison,1.5,3,0.75,0,0.5,0,0.75,0.08,1,0.28,0.285714286,0.84,C
2001,Pepe Sanchez,1.333333333,1,2.733333333,0.733333333,0.066666667,0,0.4,0.08,1,1.12,0.321428571,0.4,PG
2001,Peja Stojakovic,63.70833333,18.08333333,6.833333333,3.791666667,0.541666667,6,6.083333333,12.48,0.855769231,47.56,0.470142977,0.04,SF
2001,Paul Pierce,82.84,20.88,10.12,5.52,2.76,5.88,10.48,29.52,0.745257453,60.52,0.454064772,0,SF
2001,Paul McPherson,11.39130435,3.434782609,1.652173913,1.086956522,0.173913043,0.086956522,2.043478261,2.32,0.724137931,8.64,0.50462963,0.08,PG
2001,Mark Strickland,10.5,6.708333333,1,0.666666667,0.916666667,0.041666667,1.416666667,2.8,0.642857143,9.56,0.430962343,0.04,SF
2001,Patrick Ewing,30.4,23.4,3.68,2.12,3.64,0,6.04,10.04,0.685258964,27.36,0.429824561,0,C
2001,P.J. Brown,27.04,29.68,5.08,3.12,3.68,0,4.32,8.36,0.851674641,22.44,0.443850267,0,C
2001,Otis Thorpe,7.263157895,7.631578947,1.526315789,0.631578947,0.368421053,0,1.684210526,0.96,0.833333333,5.24,0.450381679,0.24,PF
2001,Othella Harrington,26.6,15.52,2.24,1.36,1.8,0,5.8,8.96,0.763392857,20.28,0.487179487,0,C
2001,Olumide Oyedeji,2.8125,4.1875,0.125,0.4375,0.625,0,0.6875,0.48,0.75,1.48,0.486486486,0.36,C
2001,Olden Polynice,17.16,15.12,1.24,1.08,3.08,0,3.12,2.6,0.261538462,16.6,0.496385542,0,C
2001,Obinna Ekezie,8.416666667,6.5,0.75,0.416666667,0.416666667,0,1.166666667,2.12,0.698113208,3.24,0.395061728,0.52,PF
2001,Nick Van Exel,54.73913043,10.47826087,26.08695652,2.652173913,0.782608696,5.869565217,7.173913043,9.96,0.819277108,44.48,0.413669065,0.08,PG
2001,Nick Anderson,3.166666667,2.083333333,1.083333333,0.833333333,0.333333333,0.833333333,0.583333333,0,,2.28,0.245614035,0.52,SG
2001,Nazr Mohammed,20.04545455,13.95454545,0.863636364,1.318181818,1.590909091,0,2.909090909,5.04,0.706349206,14.76,0.47696477,0.12,C
2001,Muggsy Bogues,0,1.5,2.5,1,0,0,2,0,,0.08,0,0.92,PG
2001,Morris Peterson,29.88,10.36,4.2,2.52,0.8,2.52,3.12,5.8,0.717241379,26.92,0.430906389,0,SG
2001,Pat Garrity,26.16666667,8.75,2.125,1.666666667,0.625,4.041666667,2.833333333,3.92,0.867346939,23.04,0.387152778,0.04,SF
2001,Mark Pope,6.565217391,6.391304348,1.652173913,0.695652174,1.130434783,0.217391304,0.739130435,1.4,0.628571429,5.68,0.436619718,0.08,PF
2001,Mark Madsen,5.708333333,6.333333333,1,0.333333333,0.333333333,0.041666667,1.125,1.48,0.702702703,4.52,0.486725664,0.04,PF
2001,Mark Jackson,25.24,12.2,26.44,3.36,0.28,2.8,7,3.76,0.776595745,23.32,0.418524871,0,PG
2001,Kobe Bryant,80.75,16.625,14.08333333,4.75,1.791666667,2.541666667,9.166666667,22.28,0.852782765,60.4,0.464238411,0.04,SG
2001,Khalid El-Amin,17.44444444,4.5,8.055555556,2.666666667,0.111111111,1.555555556,3,2.88,0.777777778,12.44,0.36977492,0.28,PG
2001,Keyon Dooling,18.70833333,3.708333333,7.375,1.708333333,0.458333333,1.166666667,3.916666667,7.16,0.698324022,14.48,0.408839779,0.04,PG
2001,Kevin Willis,28.88,21.28,2,2.28,2.08,0.04,3.48,5.88,0.768707483,27.6,0.44057971,0,C
2001,Kevin Ollie,9.391304348,4.130434783,6.347826087,1.304347826,0.043478261,0.043478261,2.130434783,3.56,0.707865169,7.68,0.395833333,0.08,PG
2001,Kevin Garnett,71.36,36.84,16.04,4.44,5.8,0.76,9.2,18.68,0.764453961,59,0.477288136,0,PF
2001,Kevin Edwards,9.411764706,4.823529412,3.058823529,1.705882353,0.470588235,0.294117647,2.176470588,2.12,0.811320755,6.8,0.329411765,0.32,SG
2001,Keon Clark,25.6,17.36,2.88,1.28,6.16,0,3.6,9.6,0.591666667,20.76,0.479768786,0,PF
2001,Kenyon Martin,38.76190476,23.9047619,6.238095238,3.714285714,5.380952381,0.047619048,6.571428571,7.68,0.630208333,31.08,0.445302445,0.16,PF
2001,Kenny Thomas,22,17.375,3.208333333,1.666666667,1.791666667,1.041666667,4.833333333,5.04,0.722222222,18.6,0.443010753,0.04,PF
2001,Kenny Anderson,22.36363636,6.636363636,12.18181818,4,0.181818182,1,4.727272727,2.84,0.830985915,9.08,0.387665198,0.56,PG
2001,Kornel David,4.769230769,4,0.538461538,0.461538462,0.307692308,0,0.846153846,0.52,0.923076923,2.04,0.490196078,0.48,SF
2001,Kendall Gill,23.58333333,10.91666667,7.25,3.916666667,0.583333333,0.333333333,4,3.6,0.722222222,12.92,0.33126935,0.52,SG
2001,Keith Van Horn,51.9375,21.6875,5.125,2.5,1.25,4.0625,6.4375,7.44,0.806451613,28.32,0.435028249,0.36,SF
2001,Karl Malone,75.12,26.76,14.44,3.72,2.48,0.08,9.76,27.04,0.792899408,53.8,0.498141264,0,PF
2001,Juwan Howard,58.48,22.88,8.96,3,1.48,0,9.68,15.32,0.772845953,48.72,0.47865353,0,PF
2001,Jumaine Jones,13.2173913,8.217391304,1.391304348,1.304347826,0.652173913,0.869565217,1.695652174,2.12,0.754716981,11,0.443636364,0.08,SF
2001,Jud Buechler,9.095238095,4.476190476,1.857142857,1,0.476190476,1.523809524,1.19047619,0.48,0.75,6.52,0.460122699,0.16,SF
2001,Jonathan Bender,8.391304348,3.217391304,1.391304348,0.304347826,1.217391304,0.47826087,1.826086957,2.72,0.735294118,7.44,0.35483871,0.08,SF
2001,Jon Barry,15.04761905,4.476190476,6.19047619,1.333333333,0.285714286,2.19047619,2.523809524,2.92,0.876712329,10.2,0.403921569,0.16,SG
2001,Johnny Newman,35.8,7.04,4.6,2.52,0.4,2.36,4.24,11.88,0.855218855,27.8,0.418705036,0,SG
2001,John Wallace,13.94117647,4.882352941,1.352941176,0.764705882,0.941176471,0.117647059,2.117647059,1.8,0.777777778,9.44,0.423728814,0.32,SF
2001,John Stockton,37.76,9.08,28.52,5.28,0.84,2.44,8.12,11.12,0.816546763,26.04,0.503840246,0,PG
2001,John Starks,29.125,6.416666667,7.416666667,3.041666667,0.416666667,2.666666667,3.916666667,4.44,0.801801802,27.44,0.397959184,0.04,SG
2001,Kelvin Cato,11.78571429,10.07142857,0.785714286,0.928571429,2.214285714,0,1.785714286,2.28,0.649122807,4.44,0.576576577,0.44,C
2001,Randy Brown,12.38888889,5.5,8.555555556,3.444444444,0.555555556,0,3.111111111,1.6,0.575,9.48,0.421940928,0.28,PG
2001,Kurt Thomas,33.33333333,21.45833333,2.625,2.541666667,2.875,0.041666667,4.125,8.4,0.814285714,24.56,0.511400651,0.04,PF
2001,Lamar Odom,54.33333333,24.66666667,16.33333333,3.083333333,5.083333333,3.333333333,11,15.44,0.678756477,41.84,0.459847036,0.04,PF
2001,Mark Bryant,1.727272727,1.909090909,0.272727273,0.090909091,0.181818182,0,0.454545455,0.2,0.6,0.8,0.4,0.56,PF
2001,Mark Blount,11.80952381,11,1.523809524,1.857142857,3.619047619,0,2.952380952,2.64,0.696969697,8,0.505,0.16,C
2001,Mario Elie,13.59090909,7.045454545,5.954545455,2.636363636,0.545454545,1.636363636,2.727272727,2.76,0.797101449,9.84,0.422764228,0.12,SG
2001,Marcus Fizer,27.32,12.52,3.04,1.2,0.76,0.4,4.96,6.44,0.726708075,25.84,0.430340557,0,PF
2001,Marcus Camby,34.5,32.86363636,2.363636364,3,6.181818182,0.045454545,2.863636364,9,0.666666667,23.2,0.524137931,0.12,C
2001,Marc Jackson,35.16666667,20.05555556,3.277777778,1.888888889,1.5,0.277777778,5.166666667,7.68,0.802083333,20.32,0.466535433,0.28,C
2001,Malik Rose,23,16.21052632,2.526315789,3.105263158,2.105263158,0.157894737,3.894736842,6.4,0.7125,14.72,0.434782609,0.24,PF
2001,Mahmoud Abdul-Rauf,14,1.315789474,4,0.473684211,0.052631579,0.210526316,1.368421053,1.16,0.75862069,9.84,0.487804878,0.24,PG
2001,Lucious Harris,28.45833333,12,5.625,3.083333333,0.666666667,1.916666667,2.666666667,5.56,0.769784173,24.96,0.424679487,0.04,SG
2001,Luc Longley,4.083333333,5.5,0.583333333,0.25,0.75,0,1.833333333,0.68,0.764705882,2.16,0.333333333,0.52,C
2001,LaPhonso Ellis,30.88,19.76,3.72,2.68,2.96,0.28,4.32,8.56,0.789719626,25.68,0.464174455,0,PF
2001,Loy Vaught,8,8.238095238,1.095238095,1,0.333333333,0,1.238095238,0.4,0.8,6.76,0.473372781,0.16,PF
2001,Lindsey Hunter,33,6.76,8.88,4.08,0.48,6.08,2.72,3.84,0.802083333,31.32,0.380587484,0,PG
2001,Lee Nailon,10.93333333,6.133333333,1.6,0.6,0.333333333,0,1.8,1.72,0.744186047,5.44,0.485294118,0.4,SF
2001,Lawrence Funderburke,12,8.166666667,0.708333333,0.375,0.541666667,0,1.333333333,3.08,0.623376623,9.68,0.495867769,0.04,PF
2001,Lavor Postell,3.933333333,1.666666667,0.333333333,0.266666667,0.133333333,0.2,1.133333333,1.08,0.814814815,2.16,0.314814815,0.4,SG
2001,Latrell Sprewell,54.56,13.88,10.76,4.24,1.12,1.64,8.72,14.04,0.783475783,48.76,0.429860541,0,SF
2001,Larry Robinson,16.58333333,7.25,3,2.333333333,0.166666667,3.666666667,2.083333333,0.96,0.875,7.36,0.364130435,0.52,PG-SG
2001,Larry Johnson,30.71428571,17.28571429,6.047619048,1.857142857,1.380952381,2.428571429,4.619047619,5.12,0.796875,23.92,0.411371237,0.16,PF
2001,Larry Hughes,51.4375,17.25,13.9375,6,1.8125,0.875,9.5,10.08,0.765873016,32.2,0.382608696,0.36,SG
2001,Laron Profit,10.85714286,4.571428571,6.357142857,2.571428571,0.785714286,0.5,3.285714286,1.8,0.733333333,5.68,0.394366197,0.44,PG
2001,Lari Ketner,0,0,0.5,0,0,0,1,0,,0,,0.92,PF
2001,Lamond Murray,39.92,13.6,4.96,3.32,1.08,2.44,5.64,8.44,0.734597156,37,0.422702703,0,SF
2001,Lorenzen Wright,38.30434783,23.26086957,3.782608696,1.826086957,2.739130435,0,5.434782609,8.64,0.717592593,32.44,0.447595561,0.08,C
2001,Rashard Lewis,46.04,21.64,5,3.64,1.8,4.92,5.16,8.52,0.82629108,35.48,0.480270575,0,PF
2001,Rasheed Wallace,64.2173913,26.17391304,9.217391304,3.913043478,5.869565217,2.260869565,6.869565217,12.8,0.765625,47.12,0.500848896,0.08,PF
2001,Rasho Nesterovic,13.66666667,11.91666667,1.875,1.041666667,2.625,0,2.291666667,2.6,0.523076923,12.76,0.460815047,0.04,C
2001,Troy Hudson,14.28,4.2,6.48,1.48,0.12,0.88,3.68,4.16,0.817307692,14.88,0.336021505,0,PG
2001,Travis Knight,1.705882353,3.117647059,0.294117647,0.294117647,0.647058824,0,0.588235294,0.72,0.5,2.12,0.188679245,0.32,C
2001,Travis Best,36.72,8.88,18.92,4.4,0.44,1.48,5.08,9.04,0.827433628,31.52,0.44035533,0,PG
2001,Trajan Langdon,16.91304348,3.869565217,3.52173913,1.652173913,0.391304348,2.217391304,2.260869565,3.04,0.894736842,12.52,0.431309904,0.08,SG
2001,Tracy Murray,12.23809524,3.857142857,1.095238095,0.571428571,0.333333333,1.714285714,1.238095238,1.68,0.785714286,9.92,0.379032258,0.16,SF
2001,Tracy McGrady,82.6,23.2,14.08,4.64,4.72,2.36,7.92,23.48,0.73253833,68.96,0.457076566,0,SG
2001,Tony Smith,8.5,1.5,5,3.5,0,0,4.5,0.08,0.5,0.92,0.347826087,0.92,SG
2001,Tony Massenburg,10.59090909,9.545454545,0.409090909,0.454545455,1.272727273,0,2.181818182,2.8,0.7,7.96,0.462311558,0.12,PF
2001,Tony Delk,40.2,10.44,6.4,3,0.68,2.16,4.04,9.4,0.787234043,36.92,0.414951246,0,SG
2001,Tony Battie,20,17.92307692,1.230769231,2.076923077,4.615384615,0,2.846153846,2.76,0.637681159,8.04,0.537313433,0.48,C
2001,Toni Kukoc,34.33333333,12.33333333,9.476190476,2.285714286,0.523809524,3.333333333,5.285714286,6.4,0.63125,23.28,0.472508591,0.16,SF
2001,Tyrone Corbin,2.222222222,1.444444444,0.444444444,0.222222222,0,0,0.333333333,0.16,0.5,1.52,0.236842105,0.64,SF
2001,Tom Hammonds,1.75,1,0.25,0,0,0,0.75,0.08,0.5,0.4,0.3,0.84,PF
2001,Todd MacCulloch,11.81818182,7.636363636,0.454545455,0.318181818,0.863636364,0,1.227272727,2.64,0.636363636,7.4,0.589189189,0.12,C
2001,Todd Fuller,4.666666667,3,0.166666667,0.5,0.333333333,0,0.5,0.32,1,1.4,0.285714286,0.76,C
2001,Todd Day,10.15384615,2.846153846,2.153846154,0.769230769,0.538461538,2,1.846153846,0.92,0.782608696,4.72,0.372881356,0.48,SG
2001,Tim Thomas,39.75,13.04166667,5.75,3.25,1.875,4.458333333,4.75,10.12,0.770750988,30.32,0.430079156,0.04,PF
2001,Tim James,3,2.333333333,0.533333333,0.133333333,0.333333333,0.066666667,0.533333333,0.56,0.857142857,2.08,0.307692308,0.4,SF
2001,Tim Hardaway,47.91666667,8.5,20.125,3.75,0.25,7.875,7.875,7.24,0.801104972,41.68,0.391554702,0.04,PG
2001,Tim Duncan,72.8,39.88,9.8,2.8,7.68,0.28,9.68,26.48,0.617824773,56.24,0.499288762,0,PF
2001,Theo Ratliff,41.4,27.53333333,3.866666667,2,12.46666667,0,8.4,8.68,0.760368664,18.28,0.498905908,0.4,C
2001,Terry Porter,22.92,8.04,10.04,2.08,0.44,3.48,4.16,4.64,0.793103448,17.6,0.447727273,0,PG
2001,Terry Mills,2.777777778,2.333333333,0.555555556,0.333333333,0.111111111,0.333333333,1.111111111,0,,1.36,0.323529412,0.64,PF
2001,Terry Davis,3.666666667,5.888888889,0.777777778,0.111111111,0.111111111,0,0.555555556,0.88,0.409090909,1,0.48,0.64,PF
